"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Barbitiste à bouclier  ( Polysarcus scutatus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65639	"Polysarcus scutatus"	"Polysarcus scutatus (Brunner von Wattenwyl, 1882)"	"Barbitiste à bouclier"													"Déterminante stricte"
"*  Magicienne dentelée  ( Saga pedo )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65680	"Saga pedo"	"Saga pedo (Pallas, 1771)"	"Magicienne dentelée, Langouste de Provence, Saga aux longues pattes"					"CDH4"	""	"NI2"	""					"Déterminante stricte"
"Decticelle aptère  ( Pholidoptera aptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65735	"Pholidoptera aptera"	"Pholidoptera aptera (Fabricius, 1793)"	"Decticelle aptère, Sauterelle aptère"													"Déterminante stricte"
"Antaxie marbrée  ( Antaxius pedestris )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65765	"Antaxius pedestris"	"Antaxius pedestris (Fabricius, 1787)"	"Antaxie marbrée, Antaxie commune, Decticelle marbrée"													"Déterminante stricte"
"Antaxie catalane  ( Antaxius chopardi )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65766	"Antaxius chopardi"	"Antaxius chopardi Morales-Agacino, 1936"	"Antaxie catalane"													"Déterminante stricte"
"Antaxie cévenole  ( Antaxius sorrezensis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65767	"Antaxius sorrezensis"	"Antaxius sorrezensis (Marquet, 1877)"	"Antaxie cévenole"													"Déterminante stricte"
"Antaxie pyrénéenne  ( Antaxius hispanicus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65768	"Antaxius hispanicus"	"Antaxius hispanicus Bolívar, 1884"	"Antaxie pyrénéenne"													"Déterminante stricte"
"Courtilière provençale  ( Gryllotalpa septemdecimchromosomica )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllotalpidae"	65898	"Gryllotalpa septemdecimchromosomica"	"Gryllotalpa septemdecimchromosomica Ortiz, 1958"	"Courtilière provençale"													"Déterminante stricte"
"Grillon testacé  ( Eugryllodes pipiens provincialis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65928	"Eugryllodes pipiens provincialis"	"Eugryllodes pipiens (Dufour, 1820)"	"Grillon testacé, Grillon de montagne"													"Déterminante stricte"
"Fourmigril provençal  ( Myrmecophilus myrmecophilus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Myrmecophilidae"	65950	"Myrmecophilus myrmecophilus"	"Myrmecophilus myrmecophilus (Savi, 1819)"	"Fourmigril provençal,  Myrmécophile provençal"													"Déterminante stricte"
