"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"-  ( Potosia fieberi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	7870	"Potosia fieberi"	"Potosia fieberi (Kraatz, 1880)"	""			"NT"	"pr. B1ab(iii)"									
"-  ( Stenomax foudrasii )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tenebrionidae"	8226	"Stenomax foudrasii"	"Stenomax foudrasii (Mulsant, 1854)"	""			"DD"	""									
"Chevrette bleue  ( Platycerus caraboides )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lucanidae"	8282	"Platycerus caraboides"	"Platycerus caraboides (Linnaeus, 1758)"	"Chevrette bleue, Petit Lucane à allure de carabe"			"LC"	""									
"*  Carabe de Solier  ( Carabus solieri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8470	"Carabus solieri"	"Carabus solieri Dejean, 1826"	"Carabe de Solier"							"NI3"	""					
"*  -  ( Carabus solieri clairi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8476	"Carabus solieri clairi"	"Carabus solieri clairi Géhin, 1885"	""							"NI3"	""					
"*  -  ( Carabus solieri solieri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8482	"Carabus solieri solieri"	"Carabus solieri solieri Dejean, 1826"	""							"NI3"	""					
"-  ( Tachyta nana )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8712	"Tachyta nana"	"Tachyta nana (Gyllenhal, 1810)"	""			"LC"	""									
"*  -  ( Aphaenops bucephalus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8750	"Aphaenops bucephalus"	"Aphaenops bucephalus (Dieck, 1869)"	""							"NI3"	""					
"*  -  ( Aphaenops jeanneli )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8754	"Aphaenops jeanneli"	"Aphaenops jeanneli (Abeille de Perrin, 1905)"	""							"NI3"	""					
"*  Aphaenops de Leschenault  ( Aphaenops leschenaulti )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8755	"Aphaenops leschenaulti"	"Aphaenops leschenaulti Bonvouloir, 1862"	"Aphaenops de Leschenault"							"NI3"	""					
"*  Aphaenops de Loubens  ( Aphaenops loubensi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8756	"Aphaenops loubensi"	"Aphaenops loubensi Jeannel, 1953"	"Aphaenops de Loubens"							"NI3"	""					
"*  Hydraphaenops basque  ( Aphaenops vasconicus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8757	"Aphaenops vasconicus"	"Aphaenops vasconicus Jeannel, 1913"	"Hydraphaenops basque"							"NI3"	""					
"-  ( Rhizophagus bipustulatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Monotomidae"	9038	"Rhizophagus bipustulatus"	"Rhizophagus bipustulatus (Fabricius, 1792)"	""			"LC"	""									
"-  ( Silvanus unidentatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Silvanidae"	9045	"Silvanus unidentatus"	"Silvanus unidentatus (Olivier, 1790)"	""			"LC"	""									
"-  ( Laemophloeus monilis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Laemophloeidae"	9057	"Laemophloeus monilis"	"Laemophloeus monilis (Fabricius, 1787)"	""			"NT"	"pr. B1ab(iii)"									
"*  Graphodère à deux lignes  ( Graphoderus bilineatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Dytiscidae"	9562	"Graphoderus bilineatus"	"Graphoderus bilineatus (de Geer, 1774)"	"Graphodère à deux lignes"					"CDH4, CDH2"	" "	"NI2"	""					
"*  Grand dytique  ( Dytiscus latissimus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Dytiscidae"	9569	"Dytiscus latissimus"	"Dytiscus latissimus Linnaeus, 1758"	"Grand dytique"					"CDH4, CDH2"	" "	"NI2"	""					
"-  ( Platysoma compressum )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Histeridae"	10437	"Platysoma compressum"	"Platysoma compressum (Herbst, 1783)"	""			"LC"	""									
"-  ( Merohister ariasi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Histeridae"	10499	"Merohister ariasi"	"Merohister ariasi (Marseul, 1864)"	""			"CR"	"B2ab(iii,iv)"									
"Cerf-volant  ( Lucanus cervus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lucanidae"	10502	"Lucanus cervus"	"Lucanus cervus (Linnaeus, 1758)"	"Cerf-volant (mâle), Biche (femelle), Lucane, Lucane cerf-volant"			"NT"	"pr. B1ab(iii)"	"CDH2"	""							
"Lucane rhinoceros  ( Sinodendron cylindricum )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lucanidae"	10512	"Sinodendron cylindricum"	"Sinodendron cylindricum (Linnaeus, 1758)"	"Lucane rhinoceros, Sinodendre cylindrique"			"NT"	"pr. B1ab(ii,iii,iv)"									
"*  Bolbelasme à une corne  ( Bolbelasmus unicornis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Geotrupidae"	10530	"Bolbelasmus unicornis"	"Bolbelasmus unicornis Schrank, 1789"	"Bolbelasme à une corne"					"CDH2, CDH4"	" "	"NI2"	""					
"Scarabée rhinocéros européen  ( Oryctes nasicornis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10964	"Oryctes nasicornis"	"Oryctes nasicornis (Linnaeus, 1758)"	"Scarabée rhinocéros européen, Rhinocéros"			"NT"	"pr. B1ab(ii,iii,iv)"									
"Cétoine punaise  ( Valgus hemipterus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10977	"Valgus hemipterus"	"Valgus hemipterus (Linnaeus, 1758)"	"Cétoine punaise, Mini cétoine"			"LC"	""									
